draw_id,fecha,label,n1,n2,n3,fetched_at,source
LN|2026-02-19|MID,2026-02-19,MID,31,30,04,2026-02-19T19:30:12Z,loteriadominicana.com.do
LN|2026-02-19|NIGHT,2026-02-19,NIGHT,79,89,95,2026-02-20T05:40:55Z,loteriadominicana.com.do
LN|2026-02-20|MID,2026-02-20,MID,87,72,63,2026-02-20T19:26:05Z,loteriadominicana.com.do
LN|2026-02-20|NIGHT,2026-02-20,NIGHT,58,35,18,2026-02-21T05:13:37Z,loteriadominicana.com.do
LN|2026-02-21|MID,2026-02-21,MID,12,55,84,2026-02-21T18:52:10Z,loteriadominicana.com.do
LN|2026-02-21|NIGHT,2026-02-21,NIGHT,70,38,08,2026-02-22T04:08:39Z,loteriadominicana.com.do
LN|2026-02-22|MID,2026-02-22,MID,19,66,86,2026-02-22T19:24:54Z,loteriadominicana.com.do
LN|2026-02-22|NIGHT,2026-02-22,NIGHT,40,29,45,2026-02-23T04:14:35Z,loteriadominicana.com.do
LN|2026-02-23|MID,2026-02-23,MID,67,83,34,2026-02-23T19:56:51Z,loteriadominicana.com.do
LN|2026-02-23|NIGHT,2026-02-23,NIGHT,35,68,60,2026-02-24T04:10:04Z,loteriadominicana.com.do
LN|2026-02-24|MID,2026-02-24,MID,37,40,31,2026-02-24T22:49:05Z,loteriadominicana.com.do
LN|2026-02-24|NIGHT,2026-02-24,NIGHT,39,56,66,2026-02-25T04:11:39Z,loteriadominicana.com.do
LN|2026-02-25|MID,2026-02-25,MID,15,80,67,2026-02-25T19:49:21Z,loteriadominicana.com.do
LN|2026-02-25|NIGHT,2026-02-25,NIGHT,53,15,44,2026-02-26T04:08:16Z,loteriadominicana.com.do
LN|2026-02-26|MID,2026-02-26,MID,12,94,21,2026-02-26T19:42:59Z,loteriadominicana.com.do
LN|2026-02-26|NIGHT,2026-02-26,NIGHT,00,21,48,2026-02-27T04:04:41Z,loteriadominicana.com.do
LN|2026-02-28|MID,2026-02-28,MID,81,48,75,2026-02-28T19:20:51Z,loteriadominicana.com.do
LN|2026-02-28|NIGHT,2026-02-28,NIGHT,80,75,08,2026-03-01T04:14:07Z,loteriadominicana.com.do
LN|2026-03-01|MID,2026-03-01,MID,57,00,53,2026-03-01T19:22:54Z,loteriadominicana.com.do
LN|2026-03-01|NIGHT,2026-03-01,NIGHT,11,13,08,2026-03-02T04:05:37Z,loteriadominicana.com.do
LN|2026-03-02|MID,2026-03-02,MID,55,51,91,2026-03-02T19:36:35Z,loteriadominicana.com.do
LN|2026-03-02|NIGHT,2026-03-02,NIGHT,30,68,44,2026-03-03T04:06:23Z,loteriadominicana.com.do
LN|2026-03-03|MID,2026-03-03,MID,64,53,25,2026-03-03T20:20:50Z,loteriadominicana.com.do
LN|2026-03-03|NIGHT,2026-03-03,NIGHT,43,04,19,2026-03-04T04:00:51Z,loteriadominicana.com.do
LN|2026-03-04|MID,2026-03-04,MID,37,32,21,2026-03-04T19:38:29Z,loteriadominicana.com.do
LN|2026-03-04|NIGHT,2026-03-04,NIGHT,61,22,64,2026-03-05T04:04:18Z,loteriadominicana.com.do
LN|2026-03-05|MID,2026-03-05,MID,44,93,62,2026-03-05T19:52:17Z,loteriadominicana.com.do
LN|2026-03-05|NIGHT,2026-03-05,NIGHT,84,61,55,2026-03-06T04:01:50Z,loteriadominicana.com.do
LN|2026-03-06|MID,2026-03-06,MID,55,69,79,2026-03-06T19:34:21Z,loteriadominicana.com.do
LN|2026-03-06|NIGHT,2026-03-06,NIGHT,41,93,30,2026-03-07T03:52:29Z,loteriadominicana.com.do
LN|2026-03-07|MID,2026-03-07,MID,41,15,10,2026-03-07T19:21:48Z,loteriadominicana.com.do
LN|2026-03-07|NIGHT,2026-03-07,NIGHT,84,61,19,2026-03-08T04:03:06Z,loteriadominicana.com.do
LN|2026-03-08|MID,2026-03-08,MID,59,36,79,2026-03-08T19:23:24Z,loteriadominicana.com.do
LN|2026-03-08|NIGHT,2026-03-08,NIGHT,55,14,90,2026-03-09T04:08:22Z,loteriadominicana.com.do
LN|2026-03-09|MID,2026-03-09,MID,09,66,50,2026-03-09T19:40:42Z,loteriadominicana.com.do
LN|2026-03-09|NIGHT,2026-03-09,NIGHT,50,83,92,2026-03-10T04:00:54Z,loteriadominicana.com.do
LN|2026-03-10|MID,2026-03-10,MID,53,80,98,2026-03-10T19:38:24Z,loteriadominicana.com.do
LN|2026-03-10|NIGHT,2026-03-10,NIGHT,79,07,78,2026-03-11T04:01:44Z,loteriadominicana.com.do
LN|2026-03-11|MID,2026-03-11,MID,59,46,94,2026-03-11T19:40:56Z,loteriadominicana.com.do
LN|2026-03-11|NIGHT,2026-03-11,NIGHT,35,96,38,2026-03-12T04:06:05Z,loteriadominicana.com.do
LN|2026-03-12|MID,2026-03-12,MID,86,84,15,2026-03-12T19:42:46Z,loteriadominicana.com.do
LN|2026-03-12|NIGHT,2026-03-12,NIGHT,30,31,27,2026-03-13T04:04:08Z,loteriadominicana.com.do
LN|2026-03-13|MID,2026-03-13,MID,98,27,55,2026-03-13T19:31:31Z,loteriadominicana.com.do
LN|2026-03-13|NIGHT,2026-03-13,NIGHT,94,24,04,2026-03-14T04:02:55Z,loteriadominicana.com.do
LN|2026-03-14|MID,2026-03-14,MID,64,01,18,2026-03-14T19:26:59Z,loteriadominicana.com.do
LN|2026-03-14|NIGHT,2026-03-14,NIGHT,76,79,95,2026-03-15T04:25:33Z,loteriadominicana.com.do
LN|2026-03-15|MID,2026-03-15,MID,68,35,40,2026-03-15T19:28:09Z,loteriadominicana.com.do
LN|2026-03-15|NIGHT,2026-03-15,NIGHT,15,89,56,2026-03-16T01:37:30Z,loteriadominicana.com.do
LN|2026-03-16|MID,2026-03-16,MID,29,11,42,2026-03-16T19:52:38Z,loteriadominicana.com.do
LN|2026-03-16|NIGHT,2026-03-16,NIGHT,43,75,19,2026-03-17T04:09:12Z,loteriadominicana.com.do
LN|2026-03-17|MID,2026-03-17,MID,92,50,66,2026-03-17T19:54:25Z,loteriadominicana.com.do
LN|2026-03-17|NIGHT,2026-03-17,NIGHT,54,25,82,2026-03-18T04:15:01Z,loteriadominicana.com.do
LN|2026-03-18|MID,2026-03-18,MID,66,98,78,2026-03-18T19:49:36Z,loteriadominicana.com.do
LN|2026-03-18|NIGHT,2026-03-18,NIGHT,86,61,34,2026-03-19T04:14:06Z,loteriadominicana.com.do
LN|2026-03-19|MID,2026-03-19,MID,29,79,45,2026-03-19T19:46:31Z,loteriadominicana.com.do
LN|2026-03-19|NIGHT,2026-03-19,NIGHT,06,19,26,2026-03-20T04:05:55Z,loteriadominicana.com.do
LN|2026-03-20|MID,2026-03-20,MID,94,19,94,2026-03-20T19:37:18Z,loteriadominicana.com.do
LN|2026-03-20|NIGHT,2026-03-20,NIGHT,08,82,21,2026-03-21T03:57:02Z,loteriadominicana.com.do
LN|2026-03-21|MID,2026-03-21,MID,68,32,43,2026-03-21T19:24:15Z,loteriadominicana.com.do
LN|2026-03-21|NIGHT,2026-03-21,NIGHT,35,44,63,2026-03-22T04:11:17Z,loteriadominicana.com.do
LN|2026-03-22|MID,2026-03-22,MID,07,98,36,2026-03-22T19:25:57Z,loteriadominicana.com.do
LN|2026-03-22|NIGHT,2026-03-22,NIGHT,05,57,33,2026-03-23T04:19:56Z,loteriadominicana.com.do
LN|2026-03-23|MID,2026-03-23,MID,84,46,81,2026-03-23T19:49:12Z,loteriadominicana.com.do
LN|2026-03-23|NIGHT,2026-03-23,NIGHT,81,45,53,2026-03-24T04:09:41Z,loteriadominicana.com.do
LN|2026-03-24|MID,2026-03-24,MID,62,97,26,2026-03-24T19:53:21Z,loteriadominicana.com.do
LN|2026-03-24|NIGHT,2026-03-24,NIGHT,57,85,81,2026-03-25T02:47:48Z,loteriadominicana.com.do
LN|2026-03-25|MID,2026-03-25,MID,40,20,94,2026-03-25T19:47:19Z,loteriadominicana.com.do
LN|2026-03-25|NIGHT,2026-03-25,NIGHT,85,50,79,2026-03-26T04:25:26Z,loteriadominicana.com.do
LN|2026-03-26|MID,2026-03-26,MID,01,46,62,2026-03-26T19:54:45Z,loteriadominicana.com.do
LN|2026-03-26|NIGHT,2026-03-26,NIGHT,68,09,59,2026-03-27T04:26:50Z,loteriadominicana.com.do
LN|2026-03-27|MID,2026-03-27,MID,35,61,98,2026-03-27T19:41:06Z,loteriadominicana.com.do
LN|2026-03-27|NIGHT,2026-03-27,NIGHT,57,54,54,2026-03-28T04:11:03Z,loteriadominicana.com.do
LN|2026-03-28|MID,2026-03-28,MID,50,04,11,2026-03-28T19:29:41Z,loteriadominicana.com.do
LN|2026-03-28|NIGHT,2026-03-28,NIGHT,63,75,84,2026-03-29T04:30:12Z,loteriadominicana.com.do
LN|2026-03-29|MID,2026-03-29,MID,85,62,71,2026-03-29T19:11:04Z,loteriadominicana.com.do
LN|2026-03-29|NIGHT,2026-03-29,NIGHT,84,47,18,2026-03-30T04:37:46Z,loteriadominicana.com.do
LN|2026-03-30|MID,2026-03-30,MID,33,92,41,2026-03-30T19:55:18Z,loteriadominicana.com.do
LN|2026-03-30|NIGHT,2026-03-30,NIGHT,21,78,87,2026-03-31T04:29:21Z,loteriadominicana.com.do
LN|2026-03-31|MID,2026-03-31,MID,64,06,99,2026-03-31T19:54:29Z,loteriadominicana.com.do
LN|2026-03-31|NIGHT,2026-03-31,NIGHT,11,28,84,2026-04-01T04:40:52Z,loteriadominicana.com.do
LN|2026-04-01|MID,2026-04-01,MID,27,72,16,2026-04-01T19:57:33Z,loteriadominicana.com.do
LN|2026-04-01|NIGHT,2026-04-01,NIGHT,59,55,71,2026-04-02T04:21:47Z,loteriadominicana.com.do
LN|2026-04-03|MID,2026-04-03,MID,27,72,16,2026-04-03T19:38:23Z,loteriadominicana.com.do
LN|2026-04-03|NIGHT,2026-04-03,NIGHT,59,55,71,2026-04-04T04:08:45Z,loteriadominicana.com.do
LN|2026-04-05|MID,2026-04-05,MID,54,63,42,2026-04-05T19:33:25Z,loteriadominicana.com.do
LN|2026-04-05|NIGHT,2026-04-05,NIGHT,67,43,70,2026-04-06T04:37:22Z,loteriadominicana.com.do
LN|2026-04-06|MID,2026-04-06,MID,91,99,33,2026-04-06T19:52:58Z,loteriadominicana.com.do
LN|2026-04-06|NIGHT,2026-04-06,NIGHT,08,76,17,2026-04-07T04:26:31Z,loteriadominicana.com.do
LN|2026-04-07|MID,2026-04-07,MID,44,89,24,2026-04-07T19:56:50Z,loteriadominicana.com.do
LN|2026-04-07|NIGHT,2026-04-07,NIGHT,58,66,25,2026-04-08T04:29:30Z,loteriadominicana.com.do
LN|2026-04-08|MID,2026-04-08,MID,21,47,73,2026-04-08T19:58:54Z,loteriadominicana.com.do
LN|2026-04-08|NIGHT,2026-04-08,NIGHT,24,46,90,2026-04-09T04:26:01Z,loteriadominicana.com.do
